tanggal,SO2
2026-04-14,-1.5420941053889692e-05
2026-04-15,0.00026353218527219724
2026-04-16,0.0002218030798151934
2026-04-17,0.0002110807196610646
2026-04-18,-0.0001638084698546057
2026-04-19,0.0001724999092402868
2026-04-20,5.812635542194281e-05
2026-04-23,0.0004913167504128069
2026-04-25,-3.1045519790495746e-05
2026-04-26,0.0001680543864495121
2026-05-01,0.000433364299775955
2026-05-03,1.5331613894886686e-05
2026-05-04,1.421089352030928e-05
2026-05-06,0.0004184739615690584
2026-05-07,4.825705218536314e-06
2026-05-08,3.59549145893349e-05
2026-05-10,0.00021963303515804
2026-05-11,-9.888662771118106e-05
2026-05-12,-0.00010065509316821893
2026-05-13,7.004632546644037e-05
2026-05-14,-0.00012465986461999515
2026-05-15,0.0002768085008331885
2026-05-17,0.0002746415440924465
2026-05-18,9.313290562810532e-05
2026-05-19,0.0004414947703480721
2026-05-20,-4.765205873506299e-05
2026-05-22,0.0003579765179893002
2026-05-23,0.00015363775855803397
2026-05-24,-5.6148943864779234e-05
2026-05-25,0.0008077911916188896
2026-05-26,9.289714216720311e-05
2026-05-27,2.8801119697163813e-05
2026-05-28,0.00011463656422468678
2026-05-29,3.700252618727973e-05
2026-05-30,0.00020818313411533987
2026-05-31,0.00017881107714856626
2026-06-01,0.00013630433265158595
2026-06-02,1.2349793299411736e-05
2026-06-03,-6.396356426800291e-05
2026-06-04,-4.479833296500146e-05
2026-06-05,-0.0002805114830456053
2026-06-06,0.00022846570815697
2026-06-07,-0.00010251631950571512
2026-06-08,0.00013166474915730456
2026-06-09,0.00017063142816671947
2026-06-10,0.0005539488095867758
2026-06-11,0.0002252026703596736
2026-06-13,0.00010368732910137624
2026-06-14,3.589438953592131e-05
2026-06-15,0.0001543382143912216
2026-06-16,-0.00014427614344943626
2026-06-17,-2.0390616555232555e-05
2026-06-18,6.580193765633642e-05
2026-06-19,0.0002228700589815465
2026-06-20,0.0004082029408891685
2026-06-21,0.0005449834279716015
2026-06-22,0.0003749263036297634
2026-06-23,0.00015481250011362135
2026-06-24,-4.717521132988622e-05
2026-06-25,-9.772505187868318e-05
2026-06-26,2.8785612084902826e-05
2026-06-27,-0.0002192597839894006
2026-06-28,0.00023597984909429212
2026-06-29,-9.392222758227338e-05
2026-06-30,0.0003335470658688185
2026-07-01,0.0006903194783565899
2026-07-02,0.0001338199872407131
2026-07-03,-3.48411595041398e-05
2026-07-04,0.0003733106641448103
2026-07-05,-2.1725711121689528e-05
2026-07-07,2.726736662831778e-06
2026-07-08,0.000389770326364669
2026-07-09,-4.686791605005661e-05
2026-07-10,0.00018943967720967217
2026-07-11,0.00010199435685838884
2026-07-12,0.00020845802888895076
2026-07-13,0.0002046395153835571
2026-07-14,-0.00010494202433619648
2026-07-15,0.00012188531472929752
2026-07-16,-0.00010291406276034348
2026-07-17,0.00011138307187745038
2026-07-18,0.00012218031588417944
2026-07-19,0.0002900218375240608
2026-07-20,-0.00023366865271630863
2026-07-21,-0.00012407749015134564
2026-07-22,6.168735452168524e-05
2026-07-23,2.658193625393324e-05
2026-07-24,-0.0001163085059185202
2026-07-25,5.887597368806989e-05
2026-07-26,-2.132544614141807e-06
2026-07-29,-7.415410147852224e-05
2026-07-30,-2.1171566913835704e-05
2026-07-31,4.45662528363755e-05
2026-08-01,7.324842044909019e-05
2026-08-02,0.0007403349300147966
2026-08-03,-7.31130991577326e-05
2026-08-04,9.90358878425468e-05
2026-08-05,0.0001813808242635181
2026-08-06,5.9692659609330194e-06
2026-08-07,-0.00038356885670509655
2026-08-08,0.0002160126490101296
2026-08-09,6.340573933509101e-05
2026-08-10,0.00021859158493953143
2026-08-11,0.0001398612706301113
2026-08-12,-5.500481438502902e-05
2026-08-13,-0.00010164876342363034
2026-08-14,0.00010713163889401282
2026-08-15,0.00011791219003498554
2026-08-16,5.031969412812032e-05
2026-08-17,3.823215107937964e-05
2026-08-18,0.00021178261340537571
2026-08-19,0.00014400234795175493
2026-08-20,-1.503316561866086e-05
2026-08-21,-0.0001480412602177239
2026-08-22,-9.156896521744784e-05
2026-08-23,-0.00021713597228275225
